"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Silenor,Doxepin HCl,1,"$17,959,330.94","1,691,944","52,136","19,761",$10.61,$344.47,$908.83,0,"$26,541,981.85","2,164,202","67,006","20,080",$12.26,$396.11,"$1,321.81",0,"$31,234,424.15","2,310,715","71,480","19,894",$13.52,$436.97,"$1,570.04",0,"$35,800,168.05","2,480,078","74,546","19,330",$14.44,$480.24,"$1,852.05",0,"$38,415,195.11","2,512,929","74,141","18,415",$15.29,$518.14,"$2,086.08",0,5.90%,9.55%
Siliq,Brodalumab,1, , , , , , , , , , , , , , , , ,"$123,026.25",104,29,11,"$1,188.66","$4,242.28","$11,184.20",1,"$3,135,421.24","2,630",753,169,"$1,192.40","$4,163.91","$18,552.79",0,"$7,072,868.32","5,920","1,785",292,"$1,194.84","$3,962.39","$24,222.15",0,0.20%,0.26%
Silodosin,Silodosin,7, , , , , , , , , , , , , , , , , , , , , , , , ,"$2,314,957.81","379,065","6,387","6,283",$6.13,$362.45,$368.45,0,"$32,216,789.01","10,012,003","178,304","48,602",$3.22,$180.68,$662.87,0,-47.42%,-47.42%
Silvadene,Silver Sulfadiazine,1,"$78,710.93","401,613","3,819","3,028",$0.20,$20.61,$25.99,0,"$64,571.57","337,294","3,091","2,292",$0.19,$20.89,$28.17,0,"$64,095.37","346,592","2,973","2,293",$0.18,$21.56,$27.95,0,"$66,466.10","340,666","2,635","2,086",$0.20,$25.22,$31.86,0,"$52,024.24","277,985","2,250","1,784",$0.19,$23.12,$29.16,0,-4.08%,-1.15%
Silver Nitrate,Silver Nitrate,1,"$1,314.33","19,660",28,20,$0.07,$46.94,$65.72,1,"$2,508.67","33,770",40,34,$0.07,$62.72,$73.78,0,"$2,801.31","35,485",40,31,$0.08,$70.03,$90.36,0,"$2,928.70","36,280",42,30,$0.08,$69.73,$97.62,0,$968.57,"12,030",14,12,$0.08,$69.18,$80.71,1,-0.26%,4.76%
Silver Sulfadiazine,Silver Sulfadiazine,3,"$9,350,671.70","56,946,543","434,874","251,863",$0.16,$21.50,$37.13,0,"$9,626,771.78","56,770,805","446,313","255,798",$0.17,$21.57,$37.63,0,"$8,630,356.15","53,075,801","428,626","243,021",$0.16,$20.13,$35.51,0,"$8,387,632.81","47,789,047","396,209","226,581",$0.18,$21.17,$37.02,0,"$7,232,905.21","43,360,898","367,491","214,940",$0.17,$19.68,$33.65,0,-5.15%,0.35%
Simbrinza,Brinzolamide/Brimonidine Tart,1,"$29,689,964.15","2,045,135","214,733","56,609",$14.52,$138.26,$524.47,0,"$42,735,477.17","2,607,512","271,845","65,817",$16.39,$157.21,$649.31,0,"$52,359,691.87","2,976,404","306,349","71,942",$17.59,$170.92,$727.80,0,"$65,547,654.00","3,439,100","346,965","80,000",$19.06,$188.92,$819.35,0,"$71,919,609.87","3,509,899","348,377","77,426",$20.49,$206.44,$928.88,0,7.51%,9.00%
Simpesse,L-Norgest/E.Estradiol-E.Estrad,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$6,197.00","4,550",50,40,$1.36,$123.94,$154.93,0, , 
Simponi,Golimumab,1,"$101,971,305.57","16,432","25,168","3,730","$6,441.92","$4,051.63","$27,338.15",0,"$111,914,458.19","16,317","24,478","3,549","$7,195.55","$4,572.04","$31,534.08",0,"$120,141,188.77","16,150","23,776","3,452","$7,829.95","$5,053.04","$34,803.36",0,"$128,128,842.53","15,625","22,690","3,425","$8,641.94","$5,646.93","$37,409.88",0,"$132,970,086.59","15,298","21,519","3,210","$9,197.66","$6,179.19","$41,423.70",0,6.43%,9.31%
Simponi Aria,Golimumab,1,"$4,291,170.88","12,731",861,236,$337.06,"$4,983.94","$18,182.93",0,"$5,836,740.62","15,744","1,076",292,$370.73,"$5,424.48","$19,988.84",0,"$8,888,827.94","21,904","1,479",375,$405.81,"$6,010.03","$23,703.54",0,"$11,116,274.09","25,357","1,684",440,$438.39,"$6,601.11","$25,264.26",0,"$15,435,671.77","33,221","2,190",564,$464.64,"$7,048.25","$27,368.21",0,5.99%,8.36%
Simvastatin,Simvastatin,20,"$260,483,993.86","1,802,527,879","31,612,114","6,479,503",$0.15,$8.24,$40.20,0,"$247,160,176.30","1,765,134,931","29,613,580","6,200,075",$0.14,$8.35,$39.86,0,"$219,189,209.00","1,699,546,536","27,016,691","5,883,041",$0.13,$8.11,$37.26,0,"$208,280,567.96","1,624,685,836","24,375,099","5,531,663",$0.13,$8.54,$37.65,0,"$210,820,472.76","1,537,731,765","21,990,953","5,180,816",$0.14,$9.59,$40.69,0,6.81%,-1.42%
Sinemet 10-100,Carbidopa/Levodopa,1,"$39,225.69","42,875",274,42,$0.91,$143.16,$933.95,0,"$41,564.48","40,765",291,104,$1.02,$142.83,$399.66,0,"$31,633.23","30,813",171,45,$1.03,$184.99,$702.96,0,"$39,562.64","34,700",119,26,$1.14,$332.46,"$1,521.64",0,"$18,865.98","17,813",85,29,$1.06,$221.95,$650.55,0,-7.11%,3.73%
Sinemet 25-100,Carbidopa/Levodopa,1,"$1,548,080.07","1,449,671","5,820","1,117",$1.07,$265.99,"$1,385.93",0,"$1,474,491.29","1,259,249","5,277","1,007",$1.17,$279.42,"$1,464.24",0,"$1,533,668.94","1,223,097","5,009",922,$1.25,$306.18,"$1,663.42",0,"$1,554,904.22","1,229,819","4,906",922,$1.26,$316.94,"$1,686.45",0,"$290,114.98","251,002","1,283",558,$1.16,$226.12,$519.92,0,-8.58%,2.00%
Sinemet 25-250,Carbidopa/Levodopa,1,"$149,137.38","108,219",697,121,$1.38,$213.97,"$1,232.54",0,"$135,425.82","91,227",580,103,$1.48,$233.49,"$1,314.81",0,"$135,074.77","85,333",479,95,$1.58,$281.99,"$1,421.84",0,"$111,611.51","68,599",452,82,$1.63,$246.93,"$1,361.12",0,"$102,854.07","68,192",384,86,$1.51,$267.85,"$1,195.98",0,-7.30%,2.28%
Sinemet Cr,Carbidopa/Levodopa,1,"$933,524.22","535,344","4,094","1,172",$1.76,$228.02,$796.52,0,"$736,237.38","385,603","2,485",459,$1.97,$296.27,"$1,604.00",0,"$766,163.11","402,970","2,569",759,$1.99,$298.23,"$1,009.44",0,"$642,370.81","308,100","1,984",412,$2.18,$323.78,"$1,559.15",0,"$404,629.31","211,878","1,366",338,$2.02,$296.21,"$1,197.13",0,-7.37%,3.54%
Single Use Swab,Alcohol Antiseptic Pads,1,"$1,588,482.85","47,447,418","316,618","123,322",$0.03,$5.02,$12.88,0,"$1,961,085.89","57,575,930","349,273","146,428",$0.03,$5.61,$13.39,0,"$2,027,521.04","52,685,002","310,876","131,803",$0.04,$6.52,$15.38,0,"$2,451,322.70","61,300,797","344,887","144,751",$0.04,$7.11,$16.93,0,"$2,721,168.71","66,631,745","364,989","160,751",$0.04,$7.46,$16.93,0,2.13%,5.09%
Singulair,Montelukast Sodium,1,"$13,531,934.56","2,219,019","45,477","9,452",$6.10,$297.56,"$1,431.65",0,"$11,870,748.30","1,744,690","35,672","7,315",$6.80,$332.77,"$1,622.80",0,"$10,142,458.37","1,400,288","27,595","5,698",$7.24,$367.55,"$1,780.00",0,"$9,603,456.92","1,284,665","24,578","5,118",$7.48,$390.73,"$1,876.41",0,"$9,099,163.51","1,220,400","22,167","4,690",$7.46,$410.48,"$1,940.12",0,-0.26%,5.16%
Sirolimus,Sirolimus,5,"$17,064,467.07","1,482,406","20,816","3,989",$11.83,$819.78,"$4,277.88",0,"$18,516,992.79","1,749,043","25,336","4,471",$10.84,$730.86,"$4,141.58",1,"$19,249,602.07","1,864,212","26,095","4,610",$10.58,$737.67,"$4,175.62",0,"$18,571,532.58","1,840,515","25,411","4,576",$10.45,$730.85,"$4,058.46",0,"$21,025,200.97","2,069,448","28,537","5,463",$10.44,$736.77,"$3,848.65",0,-0.10%,-3.06%
Sirturo,Bedaquiline Fumarate,1,"$209,413.47","1,292",47, ,$162.08,"$4,455.61", ,0,"$220,945.45","1,352",49, ,$163.42,"$4,509.09", ,0,"$350,232.06","2,176",71,14,$160.95,"$4,932.85","$25,016.58",0,"$589,214.83","3,614",123,23,$163.04,"$4,790.36","$25,618.04",0,"$979,813.70","6,064",217,39,$161.58,"$4,515.27","$25,123.43",0,-0.89%,-0.08%
Sivextro*,Tedizolid Phosphate,1,"$3,808,139.68","12,753","1,315",960,$298.53,"$2,895.92","$3,966.81",0,"$3,191,501.48","10,385",857,537,$309.17,"$3,724.04","$5,943.21",0,"$5,228,330.92","21,751","1,350",852,$323.03,"$3,872.84","$6,136.54",0,"$7,932,743.30","24,334","2,270","1,541",$349.20,"$3,494.60","$5,147.79",0,"$11,943,859.46","31,974","3,286","2,175",$373.50,"$3,634.77","$5,491.43",0,6.96%,5.76%
Skelaxin,Metaxalone,1,"$1,477,828.20","236,878","2,581",711,$6.24,$572.58,"$2,078.52",0,"$1,351,722.24","182,878","1,947",516,$7.39,$694.26,"$2,619.62",0,"$1,345,426.54","151,490","1,652",402,$8.88,$814.42,"$3,346.83",0,"$1,354,600.09","133,937","1,405",326,$10.11,$964.13,"$4,155.22",0,"$1,013,972.21","99,771","1,097",292,$10.16,$924.31,"$3,472.51",0,0.49%,12.97%
Sklice,IVermectin,1, , , ,453, , , , ,"$96,796.59","37,564",274,629,$2.58,$353.27,$153.89,0,"$328,370.34","115,252",895,727,$2.85,$366.89,$451.68,0,"$348,530.90","117,237",950,708,$2.97,$366.87,$492.28,0,"$169,507.90","56,653",471,368,$2.99,$359.89,$460.62,0,0.64%,5.11%
Skyla,Levonorgestrel,1,"$19,815.43",30,30,30,$660.51,$660.51,$660.51,0,"$9,002.27",13,13,13,$692.48,$692.48,$692.48,1,"$21,039.42",29,29,29,$725.50,$725.50,$725.50,1,"$15,257.43",19,19,19,$803.02,$803.02,$803.02,1,"$22,414.03",27,27,27,$830.15,$830.15,$830.15,1,3.38%,5.88%
Skyrizi (2 Syringes) Kit,Risankizumab-Rzaa,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$36,071,861.94","2,429","2,305","1,133","$14,850.62","$15,649.40","$31,837.48",0, , 
Slynd,Drospirenone,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$11,107.22","1,568",35,22,$7.08,$317.35,$504.87,0, , 
Smoflipid,Fat Emul/Soy/Mct/Oliv/Fish Oil,1, , , , , , , , , , , , , , , , ,"$30,404.89","367,981",89,18,$0.08,$341.63,"$1,689.16",0,"$218,249.40","1,190,362",624,40,$0.18,$349.76,"$5,456.24",0,"$175,585.55","1,774,171",752,54,$0.10,$233.49,"$3,251.58",0,-46.02%,9.44%
Sodium Acetate,Sodium Acetate,3,"$15,072.42","1,112,831",392,38,$0.01,$38.45,$396.64,0,"$10,670.83","347,662",282,25,$0.03,$37.84,$426.83,0,"$8,695.59","337,649",207,27,$0.07,$42.01,$322.06,0,"$6,366.22","192,188",182,27,$0.11,$34.98,$235.79,0,"$11,778.09","245,327",293,30,$0.05,$40.20,$392.60,0,-50.37%,38.90%
Sodium Bicarbonate,Sodium Bicarbonate,4,"$1,438,133.53","7,377,956","24,058","4,336",$0.20,$59.78,$331.67,0,"$1,936,577.88","7,732,787","26,536","4,466",$0.25,$72.98,$433.63,0,"$1,391,497.96","5,397,636","19,213","3,474",$0.26,$72.42,$400.55,0,"$1,264,251.31","5,278,533","16,774","2,713",$0.24,$75.37,$466.00,0,"$786,665.33","3,842,704","10,268","1,734",$0.21,$76.61,$453.67,0,-12.04%,1.51%
Sodium Chloride,Sodium Chloride,2,"$21,792.81","257,897",611,113,$0.10,$35.67,$192.86,0,"$35,709.92","408,939",668,84,$0.10,$53.46,$425.12,0,"$57,234.24","1,322,424",967,146,$0.04,$59.19,$392.02,0,"$41,457.84","1,145,728",720,123,$0.05,$57.58,$337.06,0,"$22,000.64","335,502",361,57,$0.09,$60.94,$385.98,0,88.07%,-3.32%
Sodium Chloride,Sodium Chloride 0.45 %,4,"$569,644.11","108,740,559","28,477","13,982",$0.01,$20.00,$40.74,0,"$619,216.46","102,434,858","28,880","14,757",$0.01,$21.44,$41.96,0,"$589,899.27","106,760,214","29,654","15,070",$0.01,$19.89,$39.14,0,"$581,347.62","101,416,688","28,968","15,086",$0.01,$20.07,$38.54,0,"$569,294.66","100,478,872","28,830","15,060",$0.01,$19.75,$37.80,0,-0.17%,1.78%
Sodium Chloride,Sodium Chloride 3 %,2,"$14,816.14","1,041,297",372,45,$0.01,$39.83,$329.25,0,"$7,349.62","687,871",170,26,$0.01,$43.23,$282.68,0,"$5,826.57","667,500",138,30,$0.01,$42.22,$194.22,0,"$4,020.96","504,837",127,22,$0.01,$31.66,$182.77,0,"$1,903.26","224,935",111,26,$0.01,$17.15,$73.20,0,-0.02%,-13.78%
Sodium Chloride,Sodium Chloride 5 %,1,$189.78,"9,000",13, ,$0.02,$14.60, ,1,$671.89,"40,923",17, ,$0.02,$39.52, ,1, , , , , , , , , , , , , , , , ,"$3,218.72","246,527",48, ,$0.01,$67.06, ,0, ,-11.29%
Sodium Chloride,Sodium Chloride For Inhalation,4,"$107,015.34","1,627,969","4,805","2,005",$0.06,$22.27,$53.37,0,"$93,596.27","1,365,381","4,759","1,673",$0.06,$19.67,$55.95,0,"$60,371.45","795,778","2,657","1,035",$0.08,$22.72,$58.33,0,"$23,288.52","356,264","1,431",539,$0.07,$16.27,$43.21,0,"$26,638.89","347,246","1,486",532,$0.09,$17.93,$50.07,0,22.63%,7.21%
Sodium Chloride,Sodium Chloride Irrig Solution,3,"$1,540,670.76","294,884,364","109,115","43,969",$0.01,$14.12,$35.04,0,"$1,646,800.44","296,786,748","103,101","40,920",$0.01,$15.97,$40.24,0,"$1,412,601.37","282,152,640","97,046","38,116",$0.00,$14.56,$37.06,0,"$1,242,099.16","252,218,465","80,589","31,105",$0.00,$15.41,$39.93,0,"$1,135,071.50","240,159,209","73,076","27,614",$0.00,$15.53,$41.10,0,-4.39%,-2.40%
Sodium Chloride*,0.9 % Sodium Chloride,6,"$4,282,403.49","402,527,903","181,734","68,810",$0.02,$23.56,$62.24,0,"$5,289,626.46","457,720,937","203,877","75,400",$0.02,$25.95,$70.15,0,"$4,672,696.77","443,206,515","201,163","77,010",$0.02,$23.23,$60.68,0,"$5,037,996.79","473,311,615","209,812","79,713",$0.02,$24.01,$63.20,0,"$5,630,552.54","536,555,063","237,683","89,190",$0.02,$23.69,$63.13,0,1.95%,-1.26%
Sodium Citrate-Citric Acid,Citric Acid/Sodium Citrate,1,"$92,282.68","3,350,019","2,790",906,$0.03,$33.08,$101.86,0,"$54,975.08","2,337,012","2,105",656,$0.02,$26.12,$83.80,0,"$75,322.56","2,758,114","2,431",774,$0.03,$30.98,$97.32,0,"$79,834.75","2,735,433","2,192",738,$0.03,$36.42,$108.18,0,"$73,738.57","2,469,656","1,871",568,$0.03,$39.41,$129.82,0,2.30%,2.03%
Sodium Fluoride*,Fluoride (Sodium),3, , , ,195, , , , , , , ,54, , , , , , , ,72, , , , ,$857.68,"4,569",61,108,$0.19,$14.06,$7.94,0,"$3,188.85","18,553",367,103,$0.17,$8.69,$30.96,0,-11.22%,-11.22%
Sodium Phenylbutyrate,Sodium Phenylbutyrate,2,"$1,493,206.97","84,490",167,15,$17.67,"$8,941.36","$99,547.13",0,"$1,350,686.14","79,530",174,20,$16.98,"$7,762.56","$67,534.31",0,"$1,443,261.19","84,890",177,23,$16.98,"$8,154.02","$62,750.49",0,"$2,253,973.57","127,070",219,26,$17.52,"$10,292.12","$86,691.29",0,"$2,474,389.26","139,124",244,31,$17.53,"$10,140.94","$79,819.01",0,0.05%,-0.21%
Sodium Phosphate,"Sod Phosphate,Monobasic-Dibas",2,"$21,536.15","554,539",234,40,$0.10,$92.03,$538.40,0,"$15,348.76","178,323",176,47,$0.09,$87.21,$326.57,0,"$5,083.09","61,291",87,27,$0.08,$58.43,$188.26,0,"$11,574.21","37,202",162,36,$0.61,$71.45,$321.51,0,"$4,973.15","25,432",54,15,$0.71,$92.10,$331.54,0,16.58%,64.51%
Sodium Polystyrene Sulfonate*,Sodium Polystyrene Sulfonate,10,"$5,364,608.32","29,702,211","65,443","38,462",$0.18,$81.97,$139.48,0,"$4,940,399.43","30,967,084","68,391","40,716",$0.16,$72.24,$121.34,0,"$4,645,051.99","32,246,414","72,172","42,088",$0.14,$64.36,$110.37,0,"$4,752,333.13","33,873,174","84,762","50,459",$0.14,$56.07,$94.18,0,"$5,338,452.56","31,224,719","103,065","57,382",$0.17,$51.80,$93.03,0,23.56%,-1.08%
Sodium Sulfacetamide-Sulfur,Sulfacetamide Sod/Sulfur/Urea,1,"$6,534.79","11,175",32,24,$0.58,$204.21,$272.28,0,"$7,033.52","14,200",38,24,$0.50,$185.09,$293.06,0,"$10,199.78","17,925",47,32,$0.57,$217.02,$318.74,0,"$6,655.95","11,360",32,23,$0.59,$208.00,$289.39,0,"$9,691.76","16,685",47,26,$0.58,$206.21,$372.76,0,-0.86%,-0.17%
Sodium Sulfacetamide-Sulfur,Sulfacetamide Sodium/Sulfur,2,"$72,120.27","184,349",477,401,$1.06,$151.20,$179.85,0,"$20,523.54","16,873",93,105,$2.90,$220.68,$195.46,1,"$12,365.44","12,246",61,41,$2.71,$202.71,$301.60,1,"$38,223.89","62,872",184,124,$0.99,$207.74,$308.26,0,"$73,556.52","101,289",234,150,$0.93,$314.34,$490.38,0,-5.58%,-3.13%
Sofosbuvir-Velpatasvir,Sofosbuvir/Velpatasvir,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$49,550,573.25","173,062","6,054","2,478",$286.32,"$8,184.77","$19,996.20",0, , 
Solifenacin Succinate,Solifenacin Succinate,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$82,676,940.84","22,263,146","447,796","154,768",$3.79,$184.63,$534.20,0, , 
Soliqua 100-33,Insulin Glargine/Lixisenatide,1, , , , , , , , , , , , , , , , ,"$6,207,749.95","148,471","8,638","3,502",$41.81,$718.66,"$1,772.63",0,"$33,848,073.86","743,721","43,805","13,040",$45.51,$772.70,"$2,595.71",0,"$80,366,651.55","1,676,736","98,952","23,492",$47.93,$812.18,"$3,421.02",0,5.31%,7.07%
Soliris,Eculizumab,1,"$13,470,186.04","64,380",532,42,$209.23,"$25,319.90","$320,718.72",0,"$21,114,594.56","99,660",753,60,$211.87,"$28,040.63","$351,909.91",0,"$26,703,863.50","120,750",846,66,$221.15,"$31,564.85","$404,603.99",0,"$55,437,286.75","246,609","1,428",161,$224.80,"$38,821.63","$344,330.97",0,"$125,206,828.96","569,211","2,966",332,$219.97,"$42,214.04","$377,129.00",0,-2.15%,1.26%
Solodyn,Minocycline HCl,1,"$1,111,455.64","32,285",860,318,$34.44,"$1,292.39","$3,495.14",0,"$1,081,284.86","31,560",864,304,$34.27,"$1,251.49","$3,556.86",0,"$789,281.10","21,497",601,223,$36.72,"$1,313.28","$3,539.38",0,"$644,335.85","16,045",471,159,$40.19,"$1,368.02","$4,052.43",0,"$205,543.27","5,275",138,63,$38.84,"$1,489.44","$3,262.59",0,-3.35%,3.05%
Solosec,Secnidazole,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$57,731.11",211,190,156,$273.61,$303.85,$370.07,0,"$143,201.45",520,483,399,$275.65,$296.48,$358.90,0,0.75%,0.75%
Soltamox,Tamoxifen Citrate,1, , , ,38, , , , , , , ,39, , , , , , , ,42, , , , ,"$213,547.45","49,800",173,51,$4.29,"$1,234.38","$4,187.20",0,"$374,801.25","81,210",302,58,$4.62,"$1,241.06","$6,462.09",0,7.63%,7.63%
Solu-Cortef,Hydrocortisone Sod Succinate,1,"$20,423.92","28,450",770,359,$0.72,$26.52,$56.89,1,"$28,446.70","23,687","1,001",487,$1.20,$28.42,$58.41,1,"$48,770.13","20,981","1,150",572,$2.32,$42.41,$85.26,1,"$49,220.71","12,071",885,561,$4.08,$55.62,$87.74,1,"$103,303.51","15,362","1,564",834,$6.72,$66.05,$123.87,1,64.91%,74.95%
Solu-Cortef,Hydrocortisone Sodium Succ/PF,1,"$170,284.56","51,844","3,676","1,642",$3.78,$46.32,$103.71,1,"$211,311.59","53,248","3,935","1,719",$4.09,$53.70,$122.93,1,"$289,540.07","82,648","4,703","2,080",$3.53,$61.56,$139.20,1,"$401,391.94","63,356","5,489","2,504",$6.93,$73.13,$160.30,1,"$460,501.40","67,575","7,445","3,768",$7.24,$61.85,$122.21,1,4.49%,17.68%
Solu-Medrol,Methylprednisolone Sod Succ,2,"$132,881.36","110,989","2,567",978,$1.35,$51.77,$135.87,1,"$110,937.60","84,914","1,761",670,$1.65,$63.00,$165.58,1,"$81,815.13","58,685","1,105",465,$2.17,$74.04,$175.95,0,"$78,046.14","44,188",974,401,$2.20,$80.13,$194.63,1,"$55,181.45","27,668",659,278,$2.39,$83.74,$198.49,1,8.61%,15.46%
Solu-Medrol*,Methylprednisolone Sod Succ/PF,3,"$304,554.38","146,063","11,001","6,094",$2.44,$27.68,$49.98,1,"$351,951.47","169,364","11,313","6,159",$2.81,$31.11,$57.14,1,"$396,596.93","158,165","11,837","6,855",$3.09,$33.50,$57.86,1,"$366,153.11","91,332","11,304","6,830",$4.17,$32.39,$53.61,1,"$350,350.69","58,156","11,077","6,840",$7.55,$31.63,$51.22,1,80.97%,32.63%
Soma,Carisoprodol,1,"$2,040,901.76","249,762","2,554",566,$8.11,$799.10,"$3,605.83",0,"$1,904,680.89","206,789","2,065",423,$9.14,$922.36,"$4,502.79",0,"$1,366,713.21","148,077","1,567",352,$9.17,$872.18,"$3,882.71",0,"$1,284,905.74","137,210","1,428",297,$9.29,$899.79,"$4,326.28",0,"$1,346,422.31","146,275","1,493",366,$9.14,$901.82,"$3,678.75",0,-1.62%,3.04%
Somatuline Depot,Lanreotide Acetate,1,"$13,715,093.77","1,098","2,330",358,"$13,281.30","$5,886.31","$38,310.32",0,"$18,752,192.40","1,373","2,970",430,"$14,585.68","$6,313.87","$43,609.75",0,"$25,740,342.61","1,659","3,525",491,"$16,553.73","$7,302.22","$52,424.32",0,"$29,858,545.01","1,796","3,864",527,"$17,744.36","$7,727.37","$56,657.58",0,"$36,271,224.19","1,986","4,413",564,"$19,418.95","$8,219.18","$64,310.68",0,9.44%,9.96%
Somavert,PEGvisomant,1,"$19,894,224.95","68,721","1,940",236,$290.42,"$10,254.76","$84,297.56",0,"$22,697,920.51","70,102","2,056",236,$325.14,"$11,039.84","$96,177.63",0,"$28,350,029.61","75,431","2,321",267,$370.37,"$12,214.58","$106,179.89",0,"$31,758,683.29","75,982","2,396",280,$412.43,"$13,254.88","$113,423.87",0,"$34,885,906.47","79,429","2,569",299,$432.50,"$13,579.57","$116,675.27",0,4.87%,10.47%
Sonata,Zaleplon,1,"$272,505.53","41,732",901,212,$6.53,$302.45,"$1,285.40",0,"$318,212.43","41,876",855,255,$7.59,$372.18,"$1,247.89",0,"$288,812.34","31,171",678,135,$9.24,$425.98,"$2,139.35",0,"$288,632.36","27,186",578,115,$10.61,$499.36,"$2,509.85",0,"$34,738.39","3,320",94,65,$10.46,$369.56,$534.44,0,-1.39%,12.52%
Soolantra,IVermectin,1,"$2,169,200.69","235,384","7,073","4,781",$9.22,$306.69,$453.71,0,"$4,147,149.29","421,594","12,569","7,200",$9.84,$329.95,$575.99,0,"$6,779,098.27","625,282","15,050","9,068",$10.84,$450.44,$747.58,0,"$9,886,491.60","828,146","17,309","10,677",$11.94,$571.18,$925.96,0,"$10,958,915.54","869,035","18,253","11,270",$12.61,$600.39,$972.40,0,5.63%,8.16%
Soriatane,Acitretin,1,"$3,067,696.54","76,733","1,984",555,$40.16,"$1,546.22","$5,527.38",0,"$1,727,102.55","36,859",905,285,$47.35,"$1,908.40","$6,060.01",0,"$1,399,970.20","29,070",666,167,$48.55,"$2,102.06","$8,383.06",0,"$913,620.57","18,578",430,116,$49.97,"$2,124.70","$7,876.04",0,"$699,457.19","14,469",356,81,$48.34,"$1,964.77","$8,635.27",0,-3.25%,4.75%
Sorilux,Calcipotriene,1, , , ,135, , , , , , , ,73, , , , ,"$163,288.69","15,420",177,201,$10.59,$922.53,$812.38,0,"$1,274,802.22","109,620","1,459",550,$11.63,$873.75,"$2,317.82",0,"$1,215,304.97","95,400","1,104",513,$12.74,"$1,100.82","$2,369.02",0,9.54%,9.68%
Sorine,Sotalol HCl,1,"$3,819.89","20,759",241,98,$0.18,$15.85,$38.98,0,"$4,612.37","21,036",235,94,$0.22,$19.63,$49.07,0,"$3,454.88","19,265",224,75,$0.18,$15.42,$46.07,0,"$6,206.67","24,392",299,96,$0.25,$20.76,$64.65,0,"$6,331.86","29,119",321,111,$0.22,$19.73,$57.04,0,-15.35%,4.28%
Sotalol,Sotalol HCl,7,"$22,111,062.18","113,616,384","1,219,719","233,850",$0.19,$18.13,$94.55,0,"$25,279,173.60","120,480,213","1,257,489","244,110",$0.21,$20.10,$103.56,0,"$27,375,767.57","124,980,811","1,253,850","252,462",$0.22,$21.83,$108.44,0,"$30,731,167.86","129,668,648","1,239,881","260,523",$0.24,$24.79,$117.96,0,"$35,597,383.27","133,554,546","1,204,038","266,485",$0.27,$29.56,$133.58,0,12.41%,8.46%
Sotalol Af,Sotalol HCl,3,"$2,282,738.91","8,100,985","83,326","21,347",$0.28,$27.40,$106.93,0,"$2,768,815.45","8,248,310","81,980","20,786",$0.34,$33.77,$133.21,0,"$4,194,261.43","8,232,092","78,672","20,292",$0.51,$53.31,$206.70,0,"$4,148,953.08","8,222,642","76,092","21,350",$0.50,$54.53,$194.33,0,"$3,139,881.15","8,161,823","72,112","21,104",$0.38,$43.54,$148.78,0,-23.57%,8.01%
Sotylize,Sotalol HCl,1,"$10,516.96","7,300",27, ,$1.44,$389.52, ,1,"$16,010.45","10,252",22, ,$1.56,$727.75, ,1,"$22,946.09","13,094",42,11,$1.75,$546.34,"$2,086.01",1,"$62,244.93","36,440",60, ,$1.71,"$1,037.42", ,0,"$44,975.82","26,780",50,14,$1.68,$899.52,"$3,212.56",0,-1.68%,3.91%
Sovaldi,Sofosbuvir,1,"$1,318,386,247.20","1,308,523","47,116","14,764","$1,007.54","$27,981.71","$89,297.36",0,"$932,677,561.90","928,183","33,331","10,431","$1,004.84","$27,982.29","$89,414.01",0,"$211,121,754.65","208,383","7,480","2,500","$1,013.14","$28,224.83","$84,448.70",0,"$11,072,486.42","10,920",384,169,"$1,013.96","$28,834.60","$65,517.67",0,"$2,873,865.75","2,828",100,27,"$1,016.22","$28,738.66","$106,439.47",0,0.22%,0.21%
Spinraza,Nusinersen Sodium/PF,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$8,033,555.60",305,49,16,"$26,339.53","$163,950.11","$502,097.23",0,"$9,078,518.05",345,65,24,"$26,314.55","$139,669.51","$378,271.59",0,-0.09%,-0.09%
